open,high,low,close,volume,SMA_50,SMA_200,EMA_12,EMA_26,MACD,MACD_signal,BB_high,BB_low,BB_mid,ATR,OBV
0.10948699712753296,0.11265599727630615,0.10851199924945831,0.1114799976348877,435305366,0.1054257394373417,0.13380696441978215,0.11080535208262192,0.10934509433990952,0.001460257742712398,0.002285049224112771,0.12540276517224366,0.09608143399405425,0.11074209958314896,0.006276475957819897,263030719533
0.1114799976348877,0.11520899832248688,0.10865499824285507,0.10865499824285507,849108258,0.10559539943933487,0.1335737793892622,0.11047452841496548,0.10929397611049808,0.0011805523044673971,0.002064149840183696,0.12514616817324578,0.09708983108312666,0.11111799962818622,0.006296299109377891,262181611275
0.10865200310945511,0.10970400273799896,0.1053519994020462,0.10704399645328522,615072081,0.10570619940757751,0.1333454843610525,0.10994675426701467,0.10912731095070453,0.0008194433163101339,0.0018152085354089837,0.12502558251255433,0.09755631665355287,0.11129094958305359,0.006157420839847524,261566539194
0.10704399645328522,0.11113200336694717,0.1063769981265068,0.10793899744749069,667785123,0.10580495938658714,0.1330763393267989,0.10963786860247252,0.10903928772824426,0.0005985808742282606,0.0015718830031728392,0.12496281604414404,0.09790988300795138,0.11143634952604771,0.006057248297032727,262234324317
0.10793700069189072,0.10845000296831131,0.10330799967050552,0.10598000138998032,749185963,0.10580141946673394,0.13272397436201572,0.10907511980055064,0.10881267392540989,0.00026244587514075157,0.0013099955775664218,0.12494512165365973,0.09797847752989969,0.11146179959177971,0.005991873654230802,261485138354
0.10598000138998032,0.11134400218725204,0.1057019978761673,0.11073300242424011,650490847,0.1059099194407463,0.13240080438554286,0.10933017866573363,0.10895492048087879,0.0003752581848548431,0.0011230480990241062,0.12496827948730163,0.09802371975142785,0.11149599961936474,0.005966882986863227,262135629201
0.11073300242424011,0.11205799877643585,0.10945700109004974,0.11141599714756012,519024338,0.10587969943881034,0.13204545438289642,0.10965107381678386,0.10913722245618852,0.000513851360595341,0.0010012087513383533,0.1250135939345714,0.09848610500236783,0.11174984946846962,0.005726462608257718,262654653539
0.11141599714756012,0.11200500279664993,0.10879900306463242,0.11133600026369095,573648913,0.1058537994325161,0.13165048439055682,0.10991029327015418,0.10930009488637389,0.0006101983837802916,0.000923006677826741,0.12507231776485436,0.0987453808926583,0.11190884932875633,0.0055464295456691326,262081004626
0.11133600026369095,0.11745599657297134,0.1094290018081665,0.11665400117635727,1038038455,0.10599291950464249,0.13113347440958023,0.11094778679418543,0.10984482868563192,0.0011029581085535145,0.0009589969639720958,0.12553422723043442,0.09897137161266324,0.11225279942154884,0.005723612775607398,263119043081
0.11665400117635727,0.11879199743270874,0.11051200330257416,0.11752700060606003,1367247373,0.1062376195192337,0.13065365444868804,0.11195997353447383,0.11041387845751548,0.0015460950769583537,0.0010764165865693473,0.12605815921986968,0.0993497399512443,0.11270394958555699,0.0059062114437879116,264486290454